year,locationa,locations,children,uninsured
2014,AL,Alabama,30.4,86.1
2014,AK,Alaska,35.8,85
2014,AZ,Arizona,30.8,85.6
2014,AR,Arkansas,31.4,83.7
2014,CA,California,35.5,85.2
2014,CO,Colorado,32.1,87.2
2014,CT,Connecticut,30.6,91.3
2014,DE,Delaware,30,91.4
2014,DC,District of Columbia,20.4,91.7
2014,FL,Florida,27.2,82.4
2014,GA,Georgia,35,79.1
2014,HI,Hawaii,33.6,91.9
2014,ID,Idaho,33.1,83.5
2014,IL,Illinois,31.5,88.1
2014,IN,Indiana,31.8,85.3
2014,IA,Iowa,30.3,92.3
2014,KS,Kansas,32.3,85.5
2014,KY,Kentucky,31.3,90
2014,LA,Louisiana,31.7,81.3
2014,ME,Maine,26,89
2014,MD,Maryland,32.7,90.8
2014,MA,Massachusetts,29.9,95.4
2014,MI,Michigan,29.8,89.7
2014,MN,Minnesota,30.5,92.7
2014,MS,Mississippi,33.2,81.2
2014,MO,Missouri,30.1,87.1
2014,MT,Montana,26.6,87.1
2014,NE,Nebraska,31.6,87.7
2014,NV,Nevada,30.6,82.9
2014,NH,New Hampshire,29,88.6
2014,NJ,New Jersey,33.5,87.6
2014,NM,New Mexico,31.3,84.6
2014,NY,New York,30,87.7
2014,NC,North Carolina,31.4,83.9
2014,ND,North Dakota,29.7,91.2
2014,OH,Ohio,29.8,89.8
2014,OK,Oklahoma,32.8,86.1
2014,OR,Oregon,29,89
2014,PA,Pennsylvania,28.4,89.9
2014,RI,Rhode Island,29,92
2014,SC,South Carolina,29.5,82.9
2014,SD,South Dakota,28.9,90.1
2014,TN,Tennessee,31.4,85.8
2014,TX,Texas,37.3,75.1
2014,UT,Utah,42,86.1
2014,VT,Vermont,28,93.3
2014,VA,Virginia,32.6,87
2014,WA,Washington,30.6,89.3
2014,WV,West Virginia,26.8,89.9
2014,WI,Wisconsin,29.6,91.5
2014,WY,Wyoming,30,84.9
2014,PR,Puerto Rico,31.4,94.1
